time,x,y
0.266,341.553,352.550
0.267,341.559,352.565
0.268,341.565,352.580
0.269,341.571,352.595
0.270,341.577,352.610
0.271,341.583,352.624
0.272,341.588,352.639
0.273,341.594,352.654
0.274,341.600,352.669
0.275,341.606,352.684
0.276,341.612,352.699
0.277,341.618,352.713
0.278,341.624,352.728
0.279,341.629,352.743
0.280,341.635,352.758
0.281,341.641,352.773
0.282,341.647,352.788
0.283,341.653,352.803
0.284,341.659,352.817
0.285,341.664,352.832
0.286,341.670,352.847
0.287,341.676,352.862
0.288,341.682,352.877
0.289,341.688,352.892
0.290,341.694,352.907
0.291,341.699,352.921
0.292,341.705,352.936
0.293,341.711,352.951
0.294,341.717,352.966
0.295,341.723,352.981
0.296,341.729,352.996
0.297,341.734,353.010
0.298,341.740,353.025
0.299,341.746,353.040
0.300,341.752,353.055
0.301,341.758,353.070
0.302,341.764,353.085
0.303,341.770,353.100
0.304,341.775,353.114
0.305,341.781,353.129
0.306,341.787,353.144
0.307,341.793,353.159
0.308,341.799,353.174
0.309,341.805,353.189
0.310,341.810,353.204
0.311,341.816,353.218
0.312,341.822,353.233
0.313,341.828,353.248
0.314,341.834,353.263
0.315,341.840,353.278
0.316,341.845,353.293
0.317,341.851,353.307
0.318,341.857,353.322
0.319,341.863,353.337
0.320,341.869,353.352
0.321,341.875,353.367
0.322,341.880,353.382
0.323,341.886,353.397
0.324,341.892,353.411
0.325,341.898,353.426
0.326,341.904,353.441
0.327,341.910,353.456
0.328,341.916,353.471
0.329,341.921,353.486
0.330,341.927,353.501
0.331,341.933,353.515
0.332,341.939,353.530
0.333,341.945,353.545
0.334,341.951,353.560
0.335,341.956,353.575
0.336,341.962,353.590
0.337,341.968,353.604
0.338,341.974,353.619
0.339,341.980,353.634
0.340,341.986,353.649
0.341,341.991,353.664
0.342,341.997,353.679
0.343,342.003,353.694
0.344,342.009,353.708
0.345,342.015,353.723
0.346,342.021,353.738
0.347,342.026,353.753
0.348,342.032,353.768
0.349,342.038,353.783
0.350,342.044,353.798
0.351,342.050,353.812
0.352,342.056,353.827
0.353,342.062,353.842
0.354,342.067,353.857
0.355,342.073,353.872
0.356,342.079,353.887
0.357,342.085,353.901
0.358,342.091,353.916
0.359,342.097,353.931
0.360,342.102,353.946
0.361,342.108,353.961
0.362,342.114,353.976
0.363,342.120,353.991
0.364,342.126,354.005
0.365,342.132,354.020
0.366,342.137,354.035
0.367,342.143,354.050
0.368,342.149,354.065
0.369,342.155,354.080
0.370,342.161,354.095
0.371,342.167,354.109
0.372,342.172,354.124
0.373,342.178,354.139
0.374,342.184,354.154
0.375,342.190,354.169
0.376,342.196,354.184
0.377,342.202,354.198
0.378,342.208,354.213
0.379,342.213,354.228
0.380,342.219,354.243
0.381,342.225,354.258
0.382,342.231,354.273
0.383,342.237,354.288
0.384,342.243,354.302
0.385,342.248,354.317
0.386,342.254,354.332
0.387,342.260,354.347
0.388,342.266,354.362
0.389,342.272,354.377
0.390,342.278,354.392
0.391,342.283,354.406
0.392,342.289,354.421
0.393,342.295,354.436
0.394,342.301,354.451
0.395,342.307,354.466
0.396,342.313,354.481
0.397,342.318,354.495
0.398,342.324,354.510
0.399,342.330,354.525
0.400,342.336,354.540
0.401,342.342,354.555
0.402,342.348,354.570
0.403,342.354,354.585
0.404,342.359,354.599
0.405,342.365,354.614
0.406,342.371,354.629
0.407,342.377,354.644
0.408,342.383,354.659
0.409,342.389,354.674
0.410,342.394,354.689
0.411,342.400,354.703
0.412,342.406,354.718
0.413,342.412,354.733
0.414,342.418,354.748
0.415,342.424,354.763
0.416,342.429,354.778
0.417,342.435,354.792
0.418,342.441,354.807
0.419,342.447,354.822
0.420,342.453,354.837
0.421,342.459,354.852
0.422,342.464,354.867
0.423,342.470,354.882
0.424,342.476,354.896
0.425,342.482,354.911
0.426,342.488,354.926
0.427,342.494,354.941
0.428,342.500,354.956
0.429,342.505,354.971
0.430,342.511,354.986
0.431,342.517,355.000
0.432,342.523,355.015
0.433,342.529,355.030
0.434,342.535,355.045
0.435,342.540,355.060
0.436,342.546,355.075
0.437,342.552,355.089
0.438,342.558,355.104
0.439,342.564,355.119
0.440,342.570,355.134
0.441,342.575,355.149
0.442,342.581,355.164
0.443,342.587,355.179
0.444,342.593,355.193
0.445,342.599,355.208
0.446,342.605,355.223
0.447,342.610,355.238
0.448,342.616,355.253
0.449,342.622,355.268
0.450,342.628,355.283
0.451,342.634,355.297
0.452,342.640,355.312
0.453,342.646,355.327
0.454,342.651,355.342
0.455,342.657,355.357
0.456,342.663,355.372
0.457,342.669,355.386
0.458,342.675,355.401
0.459,342.681,355.416
0.460,342.686,355.431
0.461,342.692,355.446
0.462,342.698,355.461
0.463,342.704,355.476
0.464,342.710,355.490
0.465,342.716,355.505
0.466,342.721,355.520
0.467,342.727,355.535
0.468,342.733,355.550
0.469,342.739,355.565
0.470,342.745,355.580
0.471,342.751,355.594
0.472,342.756,355.609
0.473,342.762,355.624
0.474,342.768,355.639
0.475,342.774,355.654
0.476,342.780,355.669
0.477,342.786,355.683
0.478,342.792,355.698
0.479,342.797,355.713
0.480,342.803,355.728
0.481,342.809,355.743
0.482,342.815,355.758
0.483,342.821,355.773
0.484,342.827,355.787
0.485,342.832,355.802
0.486,342.838,355.817
0.487,342.844,355.832
0.488,342.850,355.847
0.489,342.856,355.862
0.490,342.862,355.877
0.491,342.867,355.891
0.492,342.873,355.906
0.493,342.879,355.921
0.494,342.885,355.936
0.495,342.891,355.951
0.496,342.897,355.966
0.497,342.902,355.980
0.498,342.908,355.995
0.499,342.914,356.010
0.500,342.920,356.025
0.501,342.926,356.040
0.502,342.932,356.055
0.503,342.938,356.070
0.504,342.943,356.084
0.505,342.949,356.099
0.506,342.955,356.114
0.507,342.961,356.129
0.508,342.967,356.144
0.509,342.973,356.159
0.510,342.978,356.174
0.511,342.984,356.188
0.512,342.990,356.203
0.513,342.996,356.218
0.514,343.002,356.233
0.515,343.008,356.248
0.516,343.013,356.263
0.517,343.019,356.277
0.518,343.025,356.292
0.519,343.031,356.307
0.520,343.037,356.322
0.521,343.043,356.337
0.522,343.048,356.352
0.523,343.054,356.367
0.524,343.060,356.381
0.525,343.066,356.396
0.526,343.072,356.411
0.527,343.078,356.426
0.528,343.084,356.441
0.529,343.089,356.456
0.530,343.095,356.471
0.531,343.101,356.485
0.532,343.107,356.500
0.533,343.113,356.515
0.534,343.119,356.530
0.535,343.124,356.545
0.536,343.130,356.560
0.537,343.136,356.574
0.538,343.142,356.589
0.539,343.148,356.604
0.540,343.154,356.619
0.541,343.159,356.634
0.542,343.165,356.649
0.543,343.171,356.664
0.544,343.177,356.678
0.545,343.183,356.693
0.546,343.189,356.708
0.547,343.194,356.723
0.548,343.200,356.738
0.549,343.206,356.753
0.550,343.212,356.768
0.551,343.218,356.782
0.552,343.224,356.797
0.553,343.230,356.812
0.554,343.235,356.827
0.555,343.241,356.842
0.556,343.247,356.857
0.557,343.253,356.871
0.558,343.259,356.886
0.559,343.265,356.901
0.560,343.270,356.916
0.561,343.276,356.931
0.562,343.282,356.946
0.563,343.288,356.961
0.564,343.294,356.975
0.565,343.300,356.990
0.566,343.305,357.005
0.567,343.311,357.020
0.568,343.317,357.035
0.569,343.323,357.050
0.570,343.329,357.065
0.571,343.335,357.079
0.572,343.340,357.094
0.573,343.346,357.109
