time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
0.231,2,4,0,-79.693,-33.708
0.231,2,5,0,-53.833,-7.849
0.231,2,6,0,-82.339,-36.354
0.231,2,7,0,-51.241,-5.256
0.231,2,8,0,-79.921,-33.936
0.231,2,9,0,-79.470,-33.485
0.236,1,1,1,-60.466,-10.364
0.236,1,2,0,-89.727,-39.625
0.236,1,3,0,-89.727,-39.625
0.236,1,4,0,-56.607,-6.506
0.236,1,5,0,-72.652,-22.551
0.236,1,6,0,-82.731,-32.630
0.236,1,7,0,-57.607,-7.506
0.236,1,8,0,-86.462,-36.361
0.236,1,9,0,-85.080,-34.978
0.236,2,1,1,-60.567,-14.583
0.236,2,2,0,-74.752,-28.767
0.236,2,3,0,-86.160,-40.175
0.236,2,4,0,-79.683,-33.699
0.236,2,5,0,-53.834,-7.850
0.236,2,6,0,-82.338,-36.354
0.236,2,7,0,-51.240,-5.255
0.236,2,8,0,-79.920,-33.936
0.236,2,9,0,-79.469,-33.484
0.241,1,1,1,-60.467,-10.365
0.241,1,2,0,-89.728,-39.625
0.241,1,3,0,-89.728,-39.625
0.241,1,4,0,-56.610,-6.507
0.241,1,5,0,-72.654,-22.551
0.241,1,6,0,-82.734,-32.631
0.241,1,7,0,-57.607,-7.504
0.241,1,8,0,-86.463,-36.361
0.241,1,9,0,-85.087,-34.984
0.241,2,1,1,-60.566,-14.582
0.241,2,2,0,-74.757,-28.772
0.241,2,3,0,-86.161,-40.176
0.241,2,4,0,-79.674,-33.689
0.241,2,5,0,-53.835,-7.851
0.241,2,6,0,-82.337,-36.353
0.241,2,7,0,-51.239,-5.255
0.241,2,8,0,-79.920,-33.935
0.241,2,9,0,-79.467,-33.483
0.246,1,1,1,-60.469,-10.365
0.246,1,2,0,-89.730,-39.625
0.246,1,3,0,-89.730,-39.625
0.246,1,4,0,-56.613,-6.508
0.246,1,5,0,-72.657,-22.552
0.246,1,6,0,-82.737,-32.632
0.246,1,7,0,-57.607,-7.502
0.246,1,8,0,-86.465,-36.360
0.246,1,9,0,-85.095,-34.990
0.246,2,1,1,-60.565,-14.581
0.246,2,2,0,-74.762,-28.778
0.246,2,3,0,-86.162,-40.177
0.246,2,4,0,-79.665,-33.680
0.246,2,5,0,-53.836,-7.852
0.246,2,6,0,-82.336,-36.352
0.246,2,7,0,-51.239,-5.254
0.246,2,8,0,-79.919,-33.935
0.246,2,9,0,-79.466,-33.482
0.251,1,1,1,-60.471,-10.365
0.251,1,2,0,-89.731,-39.625
0.251,1,3,0,-89.731,-39.625
0.251,1,4,0,-56.616,-6.510
0.251,1,5,0,-72.659,-22.553
0.251,1,6,0,-82.740,-32.634
0.251,1,7,0,-57.607,-7.501
0.251,1,8,0,-86.466,-36.359
0.251,1,9,0,-85.102,-34.996
0.251,2,1,1,-60.564,-14.580
0.251,2,2,0,-74.767,-28.783
0.251,2,3,0,-86.162,-40.178
0.251,2,4,0,-79.655,-33.671
0.251,2,5,0,-53.837,-7.853
